J-B P tables 0 to 102 degrees by 1 degree
   15    0    1  103
   0.00
  668.80  673.90  679.00  684.00  688.90  693.80  698.60  703.30  708.00  712.70
  717.30  721.90  726.40  731.00  735.50  740.00  744.50  749.00  753.50  758.00
  762.60  767.00  771.40
 667.00
   76.80   78.00   80.30   84.70   90.60   97.30  104.80  113.10  121.70  130.70
  139.90  149.10  158.60  168.10  177.60  187.10  196.40  205.50  214.70  223.80
  232.80  241.80  250.80  259.60  268.40  277.10  285.80  294.40  302.90  311.40
  319.90  328.30  336.70  345.00  353.30  361.50  369.70  377.90  386.00  394.00
  402.00  409.90  417.80  425.50  433.30  440.90  448.50  456.00  463.40  470.80
  478.10  485.30  492.40  499.50  506.50  513.40  520.20  527.00  533.70  540.30
  546.90  553.40  559.80  566.20  572.50  578.70  584.90  590.90  597.00  602.90
  608.80  614.60  620.30  626.00  631.60  637.10  642.60  647.90  653.30  658.50
  663.70  668.80  673.90  678.80  683.80  688.60  693.30  698.00  702.70  707.30
  711.90  716.50  721.10  725.70  730.30  734.80  739.30  743.80  748.30  752.80
  757.30  761.70  766.10
 730.00
   82.80   83.60   85.90   89.80   95.10  101.40  108.20  115.90  124.00  132.50
  141.20  150.00  159.00  168.10  177.20  186.40  195.50  204.50  213.50  222.50
  231.30  240.20  249.00  257.70  266.40  275.00  283.60  292.10  300.60  309.00
  317.40  325.70  334.10  342.30  350.50  358.70  366.80  374.90  383.00  391.00
  398.90  406.70  414.50  422.20  429.80  437.40  444.90  452.40  459.80  467.10
  474.40  481.60  488.60  495.60  502.60  509.40  516.20  522.90  529.50  536.10
  542.60  549.00  555.40  561.80  568.00  574.20  580.30  586.40  592.40  598.30
  604.20  610.00  615.70  621.30  626.80  632.30  637.70  643.10  648.30  653.60
  658.70  663.80  668.80  673.70  678.60  683.40  688.10  692.80  697.50  702.10
  706.70  711.30  715.90  720.50  725.10  729.60  734.10  738.60  743.10  747.60
  752.10  756.50  760.90
 793.00
   88.80   89.40   91.50   94.90   99.70  105.40  111.90  118.90  126.50  134.50
  142.70  151.20  159.80  168.50  177.30  186.20  195.10  204.00  212.80  221.60
  230.30  239.00  247.70  256.30  264.90  273.40  281.90  290.30  298.70  307.10
  315.40  323.70  331.90  340.10  348.20  356.30  364.40  372.40  380.40  388.30
  396.10  403.80  411.50  419.10  426.70  434.20  441.70  449.10  456.40  463.70
  470.90  478.00  485.00  491.90  498.80  505.60  512.30  519.00  525.60  532.10
  538.60  545.00  551.40  557.60  563.90  570.00  576.10  582.10  588.00  593.90
  599.70  605.40  611.10  616.60  622.20  627.60  633.00  638.30  643.50  648.70
  653.80  658.80  663.80  668.70  673.60  678.40  683.10  687.80  692.40  697.00
  701.60  706.20  710.80  715.30  719.90  724.40  728.90  733.50  738.00  742.50
  747.00  751.40  755.80
J-B S tables from 0 to 107 degrees by 1 deg increments
   14    0    1  108
    0.0
   10.7   36.1   61.5   86.9  112.2  137.5  162.6  187.6  212.6  237.5
  262.2  286.7  311.1  335.3  359.2  382.9  406.4  429.5  452.3  474.9
  497.1  517.4  536.2  554.4  571.9  588.9  605.6  622.1  638.2  654.3
  670.2  686.0  701.6  717.2  732.7  748.2  763.7  779.0  794.3  809.4
  824.5  839.4  854.2  868.9  883.4  897.9  912.2  926.5  940.6  954.7
  968.6  982.4  996.2 1009.8 1023.4 1036.8 1050.2 1063.4 1076.6 1089.7
 1102.6 1115.4 1128.1 1140.7 1153.2 1165.5 1177.8 1189.9 1201.9 1213.8
 1225.6 1237.3 1248.8 1260.2 1271.4 1282.6 1293.6 1304.5 1315.3 1326.0
 1336.5 1346.9 1357.2 1367.4 1377.4 1387.3 1397.0 1406.6 1416.0 1425.3
 1434.5 1443.4 1452.3 1461.0 1469.7 1478.2 1486.7 1495.2 1503.6 1512.0
 1520.4 1528.8 1537.1 1545.5 1553.8 1562.1 1570.4 1578.7
   33.0
    9.2   30.8   56.1   81.5  106.9  132.1  157.2  182.1  207.0  231.9
  256.6  281.0  305.3  329.4  353.3  376.9  400.2  423.3  446.0  468.5
  490.6  510.0  528.7  546.8  564.3  581.3  597.8  614.2  630.3  646.3
  662.2  677.9  693.6  709.2  724.7  740.2  755.6  771.0  786.2  801.4
  816.4  831.3  846.1  860.7  875.3  889.7  904.0  918.2  932.4  946.4
  960.3  974.1  987.9 1001.5 1015.1 1028.5 1041.9 1055.1 1068.2 1081.3
 1094.2 1107.0 1119.7 1132.2 1144.7 1157.0 1169.2 1181.3 1193.3 1205.2
 1217.0 1228.6 1240.2 1251.6 1262.8 1274.0 1285.0 1295.9 1306.7 1317.3
 1327.8 1338.2 1348.5 1358.6 1368.6 1378.5 1388.2 1397.8 1407.2 1416.5
 1425.7 1434.6 1443.4 1452.2 1460.8 1469.3 1477.8 1486.3 1494.7 1503.1
 1511.5 1519.9 1528.2 1536.6 1544.9 1553.2 1561.5 1569.8
   96.4
   23.6   35.8   57.2   81.8  106.4  131.1  155.7  180.2  204.7  229.1
  253.2  277.2  301.1  324.8  348.3  371.8  394.6  417.3  439.4  461.4
  481.6  500.5  518.7  536.3  553.5  570.3  586.9  603.2  619.4  635.3
  651.1  666.8  682.5  698.0  713.5  728.9  744.3  759.5  774.7  789.8
  804.8  819.6  834.4  849.0  863.5  877.9  892.2  906.4  920.4  934.4
  948.3  962.1  975.8  989.4 1002.9 1016.3 1029.6 1042.8 1055.9 1068.9
 1081.8 1094.6 1107.2 1119.8 1132.2 1144.5 1156.7 1168.8 1180.8 1192.7
 1204.4 1215.9 1227.4 1238.7 1249.8 1260.9 1271.9 1282.8 1293.5 1304.2
 1314.7 1325.1 1335.3 1345.4 1355.4 1365.2 1374.9 1384.4 1393.8 1403.1
 1412.2 1421.1 1429.9 1438.6 1447.2 1455.7 1464.2 1472.7 1481.1 1489.5
 1497.9 1506.3 1514.6 1523.0 1531.3 1539.6 1547.8 1556.2
  159.8
   37.7   45.7   63.8   85.5  108.5  131.9  155.7  179.6  203.5  227.2
